Tick 0
P:0 H:0 C:0 | P:2 H:0 C:1 | P:0 H:0 C:0 | P:1 H:0 C:0 | P:0 H:1 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:-1 H:0 C:0 | P:0 H:0 C:0 | 
P:0 H:-1 C:0 | P:1 H:0 C:0 | P:1 H:0 C:0 | P:2 H:-1 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:1 H:0 C:0 | P:0 H:0 C:0 | P:1 H:0 C:0 | P:-1 H:0 C:0 | 
P:0 H:1 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:-1 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:1 C:0 | P:-1 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | 
P:-1 H:0 C:0 | P:0 H:0 C:0 | P:1 H:0 C:0 | P:1 H:0 C:0 | P:0 H:1 C:0 | P:1 H:-1 C:0 | P:1 H:-1 C:0 | P:1 H:0 C:-1 | P:0 H:1 C:0 | P:2 H:-1 C:0 | 
P:1 H:0 C:0 | P:1 H:-1 C:0 | P:0 H:1 C:0 | P:0 H:0 C:-1 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:1 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:1 | P:0 H:0 C:0 | 
P:1 H:0 C:0 | P:0 H:0 C:0 | P:2 H:-1 C:0 | P:0 H:0 C:1 | P:1 H:0 C:0 | P:-1 H:0 C:0 | P:1 H:0 C:-1 | P:0 H:0 C:0 | P:-1 H:0 C:0 | P:0 H:0 C:0 | 
P:0 H:0 C:1 | P:2 H:1 C:0 | P:0 H:0 C:0 | P:2 H:0 C:1 | P:0 H:0 C:-1 | P:0 H:0 C:2 | P:0 H:0 C:0 | P:0 H:0 C:-1 | P:0 H:0 C:1 | P:1 H:0 C:-1 | 
P:0 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:-1 | P:-1 H:0 C:0 | P:1 H:0 C:0 | P:0 H:0 C:-1 | P:0 H:0 C:1 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:1 H:0 C:0 | 
P:0 H:0 C:1 | P:-1 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:-1 H:0 C:0 | P:-1 H:-1 C:0 | P:-1 H:0 C:0 | P:2 H:0 C:0 | P:-1 H:0 C:0 | P:0 H:0 C:-1 | 
P:1 H:0 C:0 | P:0 H:0 C:-1 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:1 H:0 C:0 | P:0 H:0 C:0 | P:0 H:0 C:0 | P:1 H:0 C:0 | P:-1 H:0 C:0 | P:0 H:0 C:0 | 

